CNPJ,Fundo,Variavel,Valor,Z-Score
18015618000190,NOME NAO ENCONTRADO,pl_medio,22547075836.718624,6.272546728920451
18060364000122,NOME NAO ENCONTRADO,pl_medio,29813825115.78652,8.336903853535434
18599004000101,NOME NAO ENCONTRADO,pl_medio,15264400065.316376,4.203665164744129
18599388000154,NOME NAO ENCONTRADO,pl_medio,20526030984.97215,5.698403026056324
18630011000110,NOME NAO ENCONTRADO,pl_medio,33539694728.19801,9.39535862944518
19700409000149,NOME NAO ENCONTRADO,pl_medio,13920235496.71506,3.8218113815346064
20335522000151,NOME NAO ENCONTRADO,pl_medio,29501432692.838116,8.2481585976826
20743601000100,NOME NAO ENCONTRADO,pl_medio,28909887864.050163,8.080110996899792
21470947000136,NOME NAO ENCONTRADO,pl_medio,11300783337.053173,3.0776705668841613
21681273000119,CHARDONNAY FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES,pl_medio,15632919023.879438,4.308354993503838
22080558000167,NOME NAO ENCONTRADO,pl_medio,57082009395.42797,16.083320900720604
22760051000154,NOME NAO ENCONTRADO,pl_medio,11384645103.29795,3.101494236585947
25097027000175,NOME NAO ENCONTRADO,pl_medio,11799745322.05948,3.219416991468653
25341064000187,NOME NAO ENCONTRADO,pl_medio,45312870574.27767,12.73991318937862
26199519000134,NOME NAO ENCONTRADO,pl_medio,77607718233.8618,21.91431790517879
26507128000130,NOME NAO ENCONTRADO,pl_medio,19918658382.485382,5.525859029960132
26559284000144,NOME NAO ENCONTRADO,pl_medio,12006051718.03226,3.2780250515550025
26724752000199,NOME NAO ENCONTRADO,pl_medio,21307366649.08522,5.9203669032983495
27146328000177,NOME NAO ENCONTRADO,pl_medio,83941045858.66023,23.713506167038098
27717359000130,NOME NAO ENCONTRADO,pl_medio,20693352170.150402,5.74593606558429
28260437000183,NOME NAO ENCONTRADO,pl_medio,20076600838.725704,5.570727735662983
28428069000130,NOME NAO ENCONTRADO,pl_medio,65900064190.50924,18.588376950185175
28428077000186,NOME NAO ENCONTRADO,pl_medio,63487242485.747955,17.90293625512812
29152383000103,NOME NAO ENCONTRADO,pl_medio,20127933164.20012,5.585310356825021
29157520000194,NOME NAO ENCONTRADO,pl_medio,13698081578.695341,3.758701315972531
29224634000100,NOME NAO ENCONTRADO,pl_medio,70696889438.38498,19.95107160163123
29259706000154,NOME NAO ENCONTRADO,pl_medio,16404580474.6902,4.527570594950357
29259723000191,NOME NAO ENCONTRADO,pl_medio,16961081636.503132,4.685662899243041
30593140000181,NOME NAO ENCONTRADO,pl_medio,14995653832.476065,4.127319032633116
30624891000118,NOME NAO ENCONTRADO,pl_medio,11947233690.100643,3.2613158724773377
30641425000140,NOME NAO ENCONTRADO,pl_medio,23190191488.82191,6.455244703955187
30641464000148,NOME NAO ENCONTRADO,pl_medio,46455312871.845856,13.064461182693853
30754467000198,NOME NAO ENCONTRADO,pl_medio,12395515086.32156,3.388664822961522
32033283000164,NOME NAO ENCONTRADO,pl_medio,29667451232.28966,8.295321578208458
32088041000178,NOME NAO ENCONTRADO,pl_medio,29331992817.059452,8.200023674992323
32312116000152,NOME NAO ENCONTRADO,pl_medio,59332526379.91863,16.72265364670964
32312120000110,NOME NAO ENCONTRADO,pl_medio,65758916129.41462,18.548279240142307
32312124000107,NOME NAO ENCONTRADO,pl_medio,48051297477.03565,13.517852659951755
32387924000189,NOME NAO ENCONTRADO,pl_medio,26258524069.5498,7.326904641633177
32388077000177,NOME NAO ENCONTRADO,pl_medio,31082030948.3234,8.697179080508946
32892326000167,NOME NAO ENCONTRADO,pl_medio,19977991222.191906,5.542714458112115
33033134000168,NOME NAO ENCONTRADO,pl_medio,13402090634.735983,3.6746154351311335
34246519000176,NOME NAO ENCONTRADO,pl_medio,12385527959.120716,3.385827653768017
34488907000163,NOME NAO ENCONTRADO,pl_medio,13418229277.094622,3.679200142825761
34791568000190,NOME NAO ENCONTRADO,pl_medio,15582942378.513962,4.294157497489801
35536379000133,NOME NAO ENCONTRADO,pl_medio,84633344379.78728,23.910176140029424
35803288000117,NOME NAO ENCONTRADO,pl_medio,11358462156.195704,3.09405611655205
35823433000121,NOME NAO ENCONTRADO,pl_medio,13097668557.300802,3.5881344158597464
36247150000141,NOME NAO ENCONTRADO,pl_medio,30258168093.143456,8.46313396769689
37235948000136,NOME NAO ENCONTRADO,pl_medio,20109607942.86586,5.580104480061047
37553253000100,NOME NAO ENCONTRADO,pl_medio,18595218095.41915,5.14989265480564
38658114000104,NOME NAO ENCONTRADO,pl_medio,18885178908.15336,5.232265480210701
39593288000190,NOME NAO ENCONTRADO,pl_medio,14160033306.537992,3.889933769987031
39594772000134,NOME NAO ENCONTRADO,pl_medio,11898818810.145622,3.247562046862296
39618013000164,NOME NAO ENCONTRADO,pl_medio,13191829148.133013,3.614883802563145
40209243000159,NOME NAO ENCONTRADO,pl_medio,12501670968.516788,3.4188218633813365
40413765000178,NOME NAO ENCONTRADO,pl_medio,20277728866.321247,5.627864711328651
40997857000142,NOME NAO ENCONTRADO,pl_medio,64611304696.31397,18.222262785297065
41721569000123,NOME NAO ENCONTRADO,pl_medio,12426343359.178127,3.3974225992748384
41755256000196,NOME NAO ENCONTRADO,pl_medio,12439698289.640482,3.4012165028195933
42196209000112,NOME NAO ENCONTRADO,pl_medio,21146972923.90375,5.874801834709059
42380882000108,NOME NAO ENCONTRADO,pl_medio,14116639958.136305,3.8776064741778913
42592315000115,NOME NAO ENCONTRADO,pl_medio,175255331056.85992,49.65430692798131
42592333000105,NOME NAO ENCONTRADO,pl_medio,22108149924.096695,6.14785550866475
