CNPJ_FUNDO,DENOM_SOCIAL,TP_FUNDO,CLASSE,CLASSE,cluster,retorno_medio_diario,retorno_acumulado,volatilidade,max_drawdown,pl_medio,captacao_media,resgate_medio,cotistas_medio,fluxo_liquido_medio,sharpe
03319016000150,TIVIO DÓLAR CAMBIAL FIF - CLASSE DE INVESTIMENTO EM COTAS CAMBIAL - RESPONSABILIDADE LIMITADA,FIF,,,3,-0.0002625540230782351,-0.06858769174242552,0.006942836139762919,-0.10660481399698869,172431622.99911645,152868.46373493975,413702.7385943775,7653.421686746988,-260834.27485943772,-0.03781653747731985
03381437000100,CENTAURUS FIF DA CIC MULTIMERCADO CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA,FACFIF,,,1,-0.003584324368655502,-1.0,0.06503196891853322,-1.0,62820205.92377049,0.0,0.0,1.9426229508196722,0.0,-0.0551163439806913
03389374000139,BB TOP RF ARROJADO FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA LONGO PRAZO RESPONSABILIDADE LIMITADA,FIF,,,2,0.0005475243939133882,0.14664770815390593,8.922978338179167e-05,0.0,104648317912.8053,448496585.06920314,406405955.6087251,79.91633466135458,42090629.46047807,6.13611703584071
03399411000190,BRADESCO FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA REFERENCIADA DI PREMIUM - RESP LIMITADA,FIF,,,2,0.0005476016010601127,0.1454161032661918,1.954054750973795e-05,0.0,19503407473.588116,128346508.0471486,80539343.41843373,723.7871485943775,47807164.628714874,28.02386170537022
03503382000164,BB MILENIO 1 FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA RESPONSABILIDADE LIMITADA,FIF,,,2,0.0005411633906568192,0.143589721659926,1.448638623984849e-05,0.0,3978314421.200281,98744397.96730924,99432077.99726908,18.899598393574298,-687680.0299598426,37.356686595046845
03504010000152,BB RENDA FIXA REFERENCIADO DI LONGO PRAZO MEGA FIC FIF RESPONSABILIDADE LIMITADA,FACFIF,,,3,0.0005304801323172721,0.14117033790344746,3.831501498083568e-05,0.0,1721344943.5703602,7227482.82908,7896425.231319999,20107.468,-668942.4022399997,13.84522836758922
03504023000121,BB TOP PRINCIPAL RENDA FIXA REFERENCIADO DI LONGO PRAZO FIF RESPONSABILIDADE LIMITADA,FIF,,,2,0.0005524873594165414,0.14490231362407702,0.0001491389374450154,0.0,30739852943.963497,423962416.5088211,366987130.95878047,138.3170731707317,56975285.55004066,3.7045145210333326
03515596000150,MASTER FIF CIC RF REFERENCIADO DI RESP LIMITADA,FACFIF,,,3,0.0005111329710856557,0.1351088527212585,1.8048728262515167e-05,0.0,3453313207.7840962,1359.9206425702812,4113143.045180723,24719.41767068273,-4111783.124538153,28.31961142365978
03519706000152,BB MILÊNIO 10 FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA LONGO PRAZO RESPONSABILIDADE LIMITADA,FIF,,,2,0.0005421732518027871,0.14511437853347475,0.0001285778128503872,-0.00023379795819794663,4110872845.6276097,20269866.960677292,26764190.518007968,37.54581673306773,-6494323.557330675,4.216693687531133
03537407000140,BRASILPREV RT FIX II FIC FIF RENDA FIXA RESPONSABILIDADE LIMITADA,FIF,,,2,0.0004940224490819066,0.1286190321580547,0.0002979644110221897,-0.0013390640519835432,34420592797.19605,19308494.99089431,33129171.477439024,1.0,-13820676.486544713,1.6579914607490365
