CNPJ,Fundo,Variavel,Valor,Z-Score
00852311000189,BB TOP DI RENDA FIXA REFERENCIADO DI LONGO PRAZO FIF RESPONSABILIDADE LIMITADA,captacao_media,179928352.13512194,3.8997
01129004000137,ITAÚ EMPRESA TRUST RF REFERENCIADO DI FIF DA CLASSE DE INVESTIMENTO EM COTAS RESP LIMITADA,captacao_media,406685588.3842972,8.8925
01597187000115,SPECIAL RENDA FIXA REFERENCIADO DI FUNDO DE INVESTIMENTO FINANCEIRO RESPONSABILIDADE LIMITADA,captacao_media,405357675.0489156,8.8633
01599628000118,ITAÚ CORP PLUS RENDA FIXA REFERENCIADO DI FIF CIC RESPONSABILIDADE LIMITADA,captacao_media,154698869.85204822,3.3442
01608573000165,BB TOP RENDA FIXA CURTO PRAZO FUNDO DE INVESTIMENTO FINANCEIRO RESPONSABILIDADE LIMITADA,captacao_media,1748801612.6200812,38.4434
01624316000117,ITAÚ RENDA FIXA REFERENCIADO DI FUNDO DE INVESTIMENTO FINANCEIRO RESPONSABILIDADE LIMITADA,captacao_media,208718340.99433732,4.5337
02506721000101,BB RENDA FIXA SIMPLES SOLIDEZ DIFERENCIADO FUNDO DE INVESTIMENTO EM COTAS DE FIF RESP LIMITADA,captacao_media,364443879.35583675,7.9624
02513875000112,FUNDO DE INVESTIMENTO FINANCEIRO TESOURO RENDA FIXA RESPONSABILIDADE LIMITADA,captacao_media,398969035.78000003,8.7226
03187084000102,ITAÚ PP RENDA FIXA CURTO PRAZO FIF CIC RESP LIMITADA,captacao_media,173364785.12685484,3.7552
03256793000100,BRADESCO FIF - CLASSE DE INVESTIMENTO RENDA FIXA REFERENCIADA DI FEDERAL EXTRA -RESP LIMITADA,captacao_media,188442708.35702813,4.0872
03389374000139,BB TOP RF ARROJADO FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA LONGO PRAZO RESPONSABILIDADE LIMITADA,captacao_media,448496585.06920314,9.8131
03504023000121,BB TOP PRINCIPAL RENDA FIXA REFERENCIADO DI LONGO PRAZO FIF RESPONSABILIDADE LIMITADA,captacao_media,423962416.5088211,9.2729
03737206000197,NOME NAO ENCONTRADO,captacao_media,156898921.8207229,3.3927
04160232000168,BB MILENIO 32 FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA RESPONSABILIDADE LIMITADA,captacao_media,240305457.95364,5.2291
05943661000174,BB RENDA FIXA REFERENCIADO DI PLUS ÁGIL FUNDO DE INVESTIMENTO EM COTAS DE FIF RESP LIMITADA,captacao_media,398711374.9392683,8.7169
06006188000161,BB TOP DI C RENDA FIXA REFERENCIADO DI FUNDO DE INVESTIMENTO FINANCEIRO RESPONSABILIDADE LIMITADA,captacao_media,696053051.3417552,15.2639
06175696000173,ITAÚ SOBERANO RENDA FIXA SIMPLES FIF DA CIC RESPONSABILIDADE LIMITADA,captacao_media,2405226213.4118037,52.8967
07214377000192,NOME NAO ENCONTRADO,captacao_media,466983428.11528003,10.2202
07408525000100,NOME NAO ENCONTRADO,captacao_media,336510845.54951024,7.3474
07593967000173,NOME NAO ENCONTRADO,captacao_media,139754420.0188048,3.0152
07593972000186,NOME NAO ENCONTRADO,captacao_media,608125195.7806478,13.3278
07966986000106,NOME NAO ENCONTRADO,captacao_media,278632331.14553785,6.073
08212681000163,NOME NAO ENCONTRADO,captacao_media,901467632.5791566,19.7867
08915927000163,NOME NAO ENCONTRADO,captacao_media,554751001.0618,12.1526
09215250000113,NOME NAO ENCONTRADO,captacao_media,985236473.7105622,21.6311
09577447000100,NOME NAO ENCONTRADO,captacao_media,856961081.2384337,18.8067
10347195000102,NOME NAO ENCONTRADO,captacao_media,157668021.9936604,3.4096
10551370000170,NOME NAO ENCONTRADO,captacao_media,347677888.4171486,7.5933
10565506000100,NOME NAO ENCONTRADO,captacao_media,159036451.1220866,3.4397
10686433000104,NOME NAO ENCONTRADO,captacao_media,156523694.44788,3.3844
11046645000181,NOME NAO ENCONTRADO,captacao_media,418739637.60544,9.1579
11351449000110,NOME NAO ENCONTRADO,captacao_media,201472861.74844,4.3741
11419792000150,NOME NAO ENCONTRADO,captacao_media,593579356.6360799,13.0076
11419818000160,NOME NAO ENCONTRADO,captacao_media,627705351.8328915,13.759
13077415000105,NOME NAO ENCONTRADO,captacao_media,350999539.01012,7.6664
14933427000157,NOME NAO ENCONTRADO,captacao_media,430401035.2371713,9.4147
16565016000181,NOME NAO ENCONTRADO,captacao_media,265972811.10875502,5.7943
16877448000128,NOME NAO ENCONTRADO,captacao_media,615434002.9634538,13.4888
16916063000122,NOME NAO ENCONTRADO,captacao_media,216780292.90963855,4.7112
17000151000142,NOME NAO ENCONTRADO,captacao_media,358735337.2641767,7.8367
17209712000118,NOME NAO ENCONTRADO,captacao_media,140392456.30587044,3.0292
17455369000191,NOME NAO ENCONTRADO,captacao_media,547006198.41636,11.9821
17898543000170,NOME NAO ENCONTRADO,captacao_media,258474727.63855422,5.6292
18060364000122,NOME NAO ENCONTRADO,captacao_media,230128406.13404,5.0051
19303792000100,NOME NAO ENCONTRADO,captacao_media,253630922.66244978,5.5225
19700409000149,NOME NAO ENCONTRADO,captacao_media,189634596.91485944,4.1135
